Parcel ID,Sender Name,Receiver Name,Pickup Address,Delivery Address,Parcel Weight (kg),Parcel Dimensions (cm),Shipping Method,Status,Date of Pickup,Estimated Delivery Date,Actual Delivery Date,Courier Name/ID,Tracking Number,Shipping Cost (USD),Insurance Amount (USD),Parcel Type,Special Handling,Barcode,Delivery Signature Required,Customs Declaration
P12345700,Anna Cruz,Laura Kim,202 Cedar St,101 Pine Rd,2.41,35 x 35 x 19,Express,In transit,2024-11-05,2024-11-06,N/A,C010,T4532972879,15.76,41.72,Toys,Fragile,B368832466,Yes,"Item: Household Items, Value: $64"
P12345701,Anna Cruz,Laura Kim,456 Elm St,404 Maple Ave,2.26,46 x 11 x 10,Overnight,Delivered,2024-11-21,2024-11-08,2024-11-04,C004,T2689222551,27.0,68.39,Clothing,Fragile,B338898010,Yes,"Item: Perishable goods, Value: $225"
P12345702,Laura Kim,Laura Kim,707 Palm St,202 Cedar St,4.19,24 x 40 x 15,Standard,Delivered,2024-11-04,2024-11-30,N/A,C006,T6281571773,15.81,184.96,Documents,None,B725445059,No,"Item: Electronics, Value: $212"
P12345703,Michael Lee,John Smith,707 Palm St,404 Maple Ave,4.28,29 x 14 x 13,Express,Pending,2024-11-02,2024-11-15,N/A,C002,T6414044172,6.22,176.01,Clothing,None,B577671087,Yes,N/A
P12345704,Thomas Green,Emily Davis,303 Spruce St,456 Elm St,4.35,24 x 29 x 14,Overnight,Delivered,2024-11-27,2024-11-07,2024-11-06,C004,T2529080539,14.67,191.62,Perishable goods,Fragile,B943064256,No,N/A
P12345705,Laura Kim,Thomas Green,404 Maple Ave,707 Palm St,3.97,25 x 22 x 9,Standard,Delivered,2024-11-23,2024-11-15,2024-11-28,C003,T8136546024,27.01,112.0,Clothing,None,B618338479,Yes,N/A
P12345706,Sarah Brown,Emily Davis,789 Oak St,789 Oak St,0.85,42 x 33 x 7,Standard,Pending,2024-11-15,2024-11-12,N/A,C002,T9000506925,16.24,28.77,Documents,None,B189965347,No,N/A
P12345707,Olivia Carter,Robert White,505 Walnut St,202 Cedar St,1.61,39 x 34 x 16,Standard,Returned,2024-11-17,2024-11-21,2024-11-18,C009,T9257599073,8.66,62.49,Perishable goods,Temperature-controlled,B733845849,No,N/A
P12345708,Laura Kim,Michael Lee,505 Walnut St,456 Elm St,2.58,29 x 28 x 14,Express,Pending,2024-11-19,2024-11-27,2024-11-28,C007,T9654320412,21.18,134.34,Household Items,Temperature-controlled,B808392034,No,N/A
P12345709,James Miller,Thomas Green,456 Elm St,404 Maple Ave,0.63,36 x 12 x 5,Express,Pending,2024-11-27,2024-11-23,N/A,C002,T3281356322,25.64,144.26,Household Items,Temperature-controlled,B945001988,No,"Item: Electronics, Value: $241"
P12345710,Thomas Green,Anna Cruz,303 Spruce St,202 Cedar St,4.06,30 x 40 x 5,Overnight,Pending,2024-11-22,2024-11-29,2024-11-02,C007,T1199653599,9.96,97.96,Gifts,None,B126837453,No,N/A
P12345711,Sarah Brown,John Smith,456 Elm St,303 Spruce St,4.54,25 x 27 x 16,Overnight,In transit,2024-11-18,2024-11-01,N/A,C006,T6394178948,26.0,190.25,Books,Fragile,B162834813,No,"Item: Toys, Value: $45"
P12345712,Robert White,Anna Cruz,101 Pine Rd,123 Main St,0.53,23 x 17 x 6,Overnight,Pending,2024-11-08,2024-11-27,N/A,C010,T8390621907,10.84,191.97,Books,Temperature-controlled,B452871476,Yes,N/A
P12345713,Anna Cruz,Laura Kim,101 Pine Rd,505 Walnut St,3.42,29 x 28 x 20,Express,Pending,2024-11-26,2024-11-27,2024-11-03,C009,T2842000080,29.11,3.11,Household Items,None,B859188933,No,"Item: Perishable goods, Value: $11"
P12345714,John Smith,John Smith,505 Walnut St,303 Spruce St,3.09,35 x 39 x 13,Overnight,Delivered,2024-11-15,2024-11-12,2024-11-10,C002,T8445153550,8.98,126.37,Books,Fragile,B885573696,Yes,"Item: Perishable goods, Value: $272"
P12345715,Robert White,John Smith,789 Oak St,101 Pine Rd,1.4,47 x 27 x 5,Overnight,Returned,2024-11-25,2024-11-19,2024-11-03,C003,T4716371189,21.73,54.79,Perishable goods,Temperature-controlled,B258327991,Yes,N/A
P12345716,Olivia Carter,Emily Davis,202 Cedar St,123 Main St,0.53,21 x 16 x 11,Standard,Delivered,2024-11-30,2024-11-12,2024-11-18,C005,T5829116333,10.81,193.74,Documents,Temperature-controlled,B154807637,No,"Item: Perishable goods, Value: $207"
P12345717,Sarah Brown,Thomas Green,123 Main St,505 Walnut St,4.07,44 x 29 x 16,Overnight,In transit,2024-11-11,2024-11-17,N/A,C009,T9194494826,24.56,188.59,Perishable goods,Temperature-controlled,B364678138,Yes,"Item: Perishable goods, Value: $143"
P12345718,Emily Davis,Anna Cruz,123 Main St,789 Oak St,4.03,21 x 10 x 7,Express,Delivered,2024-11-19,2024-11-25,N/A,C005,T6190272291,24.77,131.98,Electronics,Fragile,B713036812,No,N/A
P12345719,Anna Cruz,Laura Kim,456 Elm St,789 Oak St,3.24,43 x 31 x 16,Standard,Returned,2024-11-19,2024-11-07,2024-11-25,C004,T1266262186,12.39,179.43,Documents,Temperature-controlled,B151046592,No,"Item: Books, Value: $293"
